id,start_date,end_date,lat,lon,rooms,bedrooms,bathrooms,surface_total,price,anio,mes,zona_lat,zona_lon,zona,mes_cont
XeUs+3mQ9XoXBLzr0OnQXA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,163000.0,2020,7,1,1,1_1,7
m+SA/bE3HAmSW0adYP+i+A==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,193000.0,2020,7,1,1,1_1,7
GZXgVMtMga1dfimAzIDPiA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,159000.0,2020,7,1,1,1_1,7
hM4/GHoPhdtIn7i8sTn14A==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,191000.0,2020,7,1,1,1_1,7
uTpiVPVxRtQ4na9YybGfGA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,167000.0,2020,7,1,1,1_1,7
SjrsEW6cwrGOOWfTcXgowg==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,165000.0,2020,7,1,1,1_1,7
M64Og/QLRi8LOuHKpRotJA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,161000.0,2020,7,1,1,1_1,7
vq4MVsgI8zRLMBNTaCRySg==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,152000.0,2020,7,1,1,1_1,7
CVjB/5wD714h8Gy4K5WxHQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,158000.0,2020,7,1,1,1_1,7
H62Ex5dme7kgczOFNVSmOA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,87.0,259000.0,2020,7,1,1,1_1,7
isKyBLhnCpzpq8c3lmwNew==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,160000.0,2020,7,1,1,1_1,7
XEviprTkdSKnHc7sJwKiZw==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,169000.0,2020,7,1,1,1_1,7
ZNndCujYqfjsjUJoTvFY3g==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,156000.0,2020,7,1,1,1_1,7
jWwUh4hA82n07q6Ma2YZIw==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,163000.0,2020,7,1,1,1_1,7
iOuCWwSc7pYtm0GUWfqGog==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,157000.0,2020,7,1,1,1_1,7
URK4XXClyZ+Qa7jaskBZXg==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,195000.0,2020,7,1,1,1_1,7
RG8VMbZ05gBZi+G+1KXPnA==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,197000.0,2020,7,1,1,1_1,7
DBQ/AVgyH5z6HlyD1eAusQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,154500.0,2020,7,1,1,1_1,7
IFryHbJ0T4gzamyKsXVmcQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,48.0,158000.0,2020,7,1,1,1_1,7
v04Xv5eN0cCNHYP+lr5kFw==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,189500.0,2020,7,1,1,1_1,7
PUhrvQ7QMTZIh/N6MpBt4Q==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,63.0,171000.0,2020,7,1,1,1_1,7
zxalARWc5WZHM9Xb7ih7mQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,49.0,169000.0,2020,7,1,1,1_1,7
KVq5uO7KPq6UoRoeC6Uplw==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,64.0,202000.0,2020,7,1,1,1_1,7
yiE9Edja9BAN88VgH6uI/Q==,2020-07-13,2020-07-15,-34.912805,-56.1493216,2.0,1.0,1.0,88.0,203000.0,2020,7,1,1,1_1,7
CzrFEVtCpPyM9lnXz2dOWQ==,2020-07-13,2020-07-15,-34.912805,-56.1493216,3.0,2.0,2.0,105.0,319000.0,2020,7,1,1,1_1,7
SJJAI2joj/LzaFZsKri+JA==,2020-07-13,9999-12-31,-34.9158988,-56.149634,3.0,2.0,2.0,68.0,275000.0,2020,7,0,1,0_1,7
nOCg3TM6QB7BGH2bM9sZFg==,2020-07-13,2020-10-06,-34.9087262,-56.1549157,3.0,2.0,1.0,60.0,180000.0,2020,7,1,1,1_1,7
qh0sgmpm32Of8Pmpt/O6Dg==,2020-07-13,9999-12-31,-34.9158988,-56.149634,3.0,2.0,2.0,68.0,275000.0,2020,7,0,1,0_1,7
2jlp4pv7+20d5DTcQ55PYw==,2020-07-13,2021-03-26,-34.9167736,-56.1581548,3.0,3.0,3.0,94.0,320000.0,2020,7,0,1,0_1,7
CZPJlsd4p4z1BnUw+4zIEA==,2020-07-13,2020-09-16,-34.8765224,-56.1945212,4.0,3.0,1.0,68.0,155000.0,2020,7,2,0,2_0,7
0SPHGTnyli126xZP0YRumw==,2020-07-13,2020-07-15,-34.8975072,-56.1794982,4.0,3.0,2.0,107.0,175000.0,2020,7,1,1,1_1,7
ktremhPE/ptYwCnkulWbBg==,2020-11-30,9999-12-31,-34.9091969,-56.1479795,3.0,2.0,2.0,68.0,320000.0,2020,11,1,2,1_2,11
PDvoi4ZaEiHeG1QN8N9K/A==,2020-11-30,9999-12-31,-34.8866974,-56.0609929,3.0,3.0,2.0,68.0,650000.0,2020,11,2,4,2_4,11
UQChyzTj1O1VC1ji9zUr8Q==,2020-11-30,9999-12-31,-34.901762,-56.133699,1.0,2.0,1.0,68.0,93900.0,2020,11,1,2,1_2,11
DrbJjs4IjCxyALbyGNXAdQ==,2020-06-20,2020-06-25,-34.9065157501,-56.1839037641,1.0,2.0,1.0,32.0,96000.0,2020,6,1,0,1_0,6
x0mS5X3TWUPlbD1EcW3PKQ==,2020-06-20,2020-06-25,-34.905805,-56.13851,3.0,2.0,1.0,50.0,160000.0,2020,6,1,2,1_2,6
qJ1AJPo42iy9yhble2aR8g==,2020-06-20,2021-05-04,-34.9134618,-56.1501783,4.0,3.0,2.0,189.0,620000.0,2020,6,1,1,1_1,6
n7VVPcxJVEu8b0w9utEN0w==,2020-05-11,2020-11-18,-34.8744916,-56.0332481,3.0,2.0,2.0,68.0,300000.0,2020,5,2,5,2_5,5
AiPGHCv5p8RaTB2MMCo53g==,2020-05-11,9999-12-31,-34.8744916,-56.0332481,3.0,2.0,2.0,68.0,280000.0,2020,5,2,5,2_5,5
iYfCpBIsvsqkXp85OTB4Sg==,2020-05-11,9999-12-31,-34.8729215,-56.0540364,3.0,2.0,2.0,129.0,320000.0,2020,5,3,4,3_4,5
ODoiGHJurtnSZDf33tnVZQ==,2020-05-11,2020-06-04,-34.9149805,-56.1614063,2.0,1.0,1.0,45.0,175000.0,2020,5,0,1,0_1,5
fcW6C7i2nQFNzzTuS4TlkQ==,2020-05-11,2020-05-26,-34.9101146,-56.1600312,2.0,1.0,1.0,53.0,120000.0,2020,5,1,1,1_1,5
9n8c9STSXOZ1c+KkPYZn/g==,2020-08-11,2020-08-31,-34.9100966064,-56.1501258238,3.0,1.0,1.0,68.0,138000.0,2020,8,1,1,1_1,8
v9xeUznUDIdmQjb9rhiWkw==,2020-08-11,2021-03-25,-34.8364198,-56.2119163,3.0,2.0,1.0,20.0,58000.0,2020,8,4,0,4_0,8
mBppSYh6pgO/S8wJ2P0C0Q==,2020-08-11,9999-12-31,-34.8870671,-56.1437007,3.0,2.0,1.0,58.0,145000.0,2020,8,2,2,2_2,8
+ba3TOXGE4+JEKOd8q15Jw==,2020-08-11,2020-10-25,-34.8783068,-56.0877131,4.0,3.0,3.0,110.0,298000.0,2020,8,2,3,2_3,8
y1D4Md2mGdZa+bCtRwKhDg==,2020-08-11,2020-10-25,-34.9243115,-56.1541416,7.0,5.0,4.0,68.0,799000.0,2020,8,0,1,0_1,8
R3d5yr737LUwzbszeP2CTw==,2021-01-21,2021-01-25,-34.8803496,-56.0598716,3.0,2.0,4.0,68.0,550000.0,2021,1,2,4,2_4,13
y5/faHCxdpn9Cbj29d5u4A==,2021-01-21,2021-01-21,-34.905287,-56.140463,3.0,2.0,1.0,68.0,129800.0,2021,1,1,2,1_2,13
5RVUDb7jLM8VSbRwrjocsQ==,2021-01-21,2021-06-05,-34.9108494,-56.1461242,2.0,1.0,1.0,41.0,155000.0,2021,1,1,2,1_2,13
X2/3PB0IWqDkQxH6iSRNPQ==,2021-01-21,2021-06-05,-34.9056776814,-56.1846172317,4.0,3.0,2.0,167.0,290000.0,2021,1,1,0,1_0,13
RRziZUPocRX/VO1Cu70UoQ==,2020-05-26,2020-06-25,-34.9068607,-56.2028463,3.0,2.0,1.0,87.0,140000.0,2020,5,1,0,1_0,5
FQkYYjHpr3yxNobNQ60HVw==,2020-05-26,9999-12-31,-34.8973335155,-56.1793839228,3.0,3.0,3.0,220.0,300000.0,2020,5,1,1,1_1,5
FeMAV8ftkzkYpDzL9CJOIA==,2020-05-26,2020-06-25,-34.889524919,-56.1179605715,3.0,1.0,1.0,50.0,160000.0,2020,5,2,2,2_2,5
nZonxCPGwYm8GNJ3Ly6YbA==,2020-05-26,2020-06-25,-34.889524919,-56.1179605715,3.0,1.0,1.0,50.0,165000.0,2020,5,2,2,2_2,5
Bp8pDKqKtPM+GZq+EMgvig==,2020-05-26,2020-06-25,-34.9101425,-56.1987122,3.0,2.0,1.0,60.0,140100.0,2020,5,1,0,1_0,5
o4UdGPHyzkgKiGKa9tCpdQ==,2020-05-26,2020-06-25,-34.9086833,-56.171963,3.0,2.0,1.0,60.0,165000.0,2020,5,1,1,1_1,5
