start_date,anio,mes,mes_cont,zona,rooms,bedrooms,bathrooms,surface_total,price,price_per_m2
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,87.0,259000.0,2977.0114942528735
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,160000.0,3333.3333333333335
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,169000.0,3520.8333333333335
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,156000.0,3250.0
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,163000.0,3326.530612244898
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,157000.0,3204.081632653061
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,195000.0,3046.875
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,197000.0,3078.125
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,154500.0,3218.75
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,48.0,158000.0,3291.6666666666665
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,189500.0,2960.9375
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,63.0,171000.0,2714.285714285714
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,49.0,169000.0,3448.9795918367345
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,64.0,202000.0,3156.25
2020-07-13,2020,7,7,1_1,2.0,1.0,1.0,88.0,203000.0,2306.818181818182
2020-07-13,2020,7,7,1_1,3.0,2.0,2.0,105.0,319000.0,3038.095238095238
2020-07-13,2020,7,7,0_1,3.0,2.0,2.0,68.0,275000.0,4044.1176470588234
2020-07-13,2020,7,7,1_1,3.0,2.0,1.0,60.0,180000.0,3000.0
2020-07-13,2020,7,7,0_1,3.0,2.0,2.0,68.0,275000.0,4044.1176470588234
2020-07-13,2020,7,7,0_1,3.0,3.0,3.0,94.0,320000.0,3404.255319148936
2020-07-13,2020,7,7,2_0,4.0,3.0,1.0,68.0,155000.0,2279.4117647058824
2020-07-13,2020,7,7,1_1,4.0,3.0,2.0,107.0,175000.0,1635.5140186915887
2020-11-30,2020,11,11,1_2,3.0,2.0,2.0,68.0,320000.0,4705.882352941177
2020-11-30,2020,11,11,2_4,3.0,3.0,2.0,68.0,650000.0,9558.823529411764
2020-11-30,2020,11,11,1_2,1.0,2.0,1.0,68.0,93900.0,1380.8823529411766
2020-06-20,2020,6,6,1_0,1.0,2.0,1.0,32.0,96000.0,3000.0
2020-06-20,2020,6,6,1_2,3.0,2.0,1.0,50.0,160000.0,3200.0
2020-06-20,2020,6,6,1_1,4.0,3.0,2.0,189.0,620000.0,3280.4232804232806
2020-05-11,2020,5,5,2_5,3.0,2.0,2.0,68.0,300000.0,4411.764705882353
2020-05-11,2020,5,5,2_5,3.0,2.0,2.0,68.0,280000.0,4117.64705882353
2020-05-11,2020,5,5,3_4,3.0,2.0,2.0,129.0,320000.0,2480.6201550387595
2020-05-11,2020,5,5,0_1,2.0,1.0,1.0,45.0,175000.0,3888.8888888888887
2020-05-11,2020,5,5,1_1,2.0,1.0,1.0,53.0,120000.0,2264.1509433962265
2020-08-11,2020,8,8,1_1,3.0,1.0,1.0,68.0,138000.0,2029.4117647058824
2020-08-11,2020,8,8,4_0,3.0,2.0,1.0,20.0,58000.0,2900.0
2020-08-11,2020,8,8,2_2,3.0,2.0,1.0,58.0,145000.0,2500.0
2020-08-11,2020,8,8,2_3,4.0,3.0,3.0,110.0,298000.0,2709.090909090909
2020-08-11,2020,8,8,0_1,7.0,5.0,4.0,68.0,799000.0,11750.0
2021-01-21,2021,1,13,2_4,3.0,2.0,4.0,68.0,550000.0,8088.235294117647
2021-01-21,2021,1,13,1_2,3.0,2.0,1.0,68.0,129800.0,1908.8235294117646
2021-01-21,2021,1,13,1_2,2.0,1.0,1.0,41.0,155000.0,3780.487804878049
2021-01-21,2021,1,13,1_0,4.0,3.0,2.0,167.0,290000.0,1736.5269461077844
2020-05-26,2020,5,5,1_0,3.0,2.0,1.0,87.0,140000.0,1609.1954022988505
2020-05-26,2020,5,5,1_1,3.0,3.0,3.0,220.0,300000.0,1363.6363636363637
2020-05-26,2020,5,5,2_2,3.0,1.0,1.0,50.0,160000.0,3200.0
2020-05-26,2020,5,5,2_2,3.0,1.0,1.0,50.0,165000.0,3300.0
2020-05-26,2020,5,5,1_0,3.0,2.0,1.0,60.0,140100.0,2335.0
2020-05-26,2020,5,5,1_1,3.0,2.0,1.0,60.0,165000.0,2750.0
2020-05-26,2020,5,5,1_0,4.0,3.0,2.0,90.0,170000.0,1888.888888888889
2020-07-27,2020,7,7,1_0,3.0,2.0,1.0,10.0,32000.0,3200.0
2020-07-27,2020,7,7,3_0,3.0,2.0,1.0,50.0,110000.0,2200.0
2021-03-24,2021,3,15,1_1,4.0,2.0,1.0,68.0,236000.0,3470.5882352941176
2021-03-24,2021,3,15,1_3,3.0,2.0,1.0,61.0,204000.0,3344.2622950819673
2021-03-24,2021,3,15,0_1,3.0,2.0,2.0,100.0,260000.0,2600.0
2021-03-24,2021,3,15,2_4,4.0,3.0,4.0,278.0,550000.0,1978.4172661870505
2021-03-24,2021,3,15,1_1,7.0,3.0,2.0,67.0,149000.0,2223.8805970149256
2021-03-24,2021,3,15,0_1,3.0,3.0,2.0,115.0,280000.0,2434.782608695652
2021-03-24,2021,3,15,2_3,5.0,4.0,3.0,100.0,330000.0,3300.0
2020-04-18,2020,4,4,1_3,3.0,2.0,3.0,205.0,1050000.0,5121.951219512195
2020-04-18,2020,4,4,2_1,4.0,3.0,2.0,72.0,210000.0,2916.6666666666665
2020-04-18,2020,4,4,0_1,3.0,2.0,2.0,125.0,498000.0,3984.0
2020-04-18,2020,4,4,3_4,3.0,2.0,2.0,121.0,315000.0,2603.305785123967
2020-04-18,2020,4,4,0_1,4.0,3.0,2.0,107.0,415000.0,3878.504672897196
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,61.0,309600.0,5075.4098360655735
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,56.0,185300.0,3308.9285714285716
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,53.0,172500.0,3254.7169811320755
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,62.0,318000.0,5129.032258064516
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,56.0,336700.0,6012.5
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,53.0,162300.0,3062.264150943396
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,56.0,185300.0,3308.9285714285716
2020-04-18,2020,4,4,1_2,3.0,2.0,2.0,96.0,287000.0,2989.5833333333335
2020-04-18,2020,4,4,1_2,3.0,2.0,3.0,96.0,535700.0,5580.208333333333
2020-04-18,2020,4,4,1_2,4.0,3.0,3.0,162.0,879000.0,5425.925925925926
2020-04-18,2020,4,4,1_2,4.0,3.0,4.0,256.0,1165200.0,4551.5625
2020-04-18,2020,4,4,1_2,5.0,4.0,4.0,626.0,2196400.0,3508.6261980830673
2020-04-18,2020,4,4,1_2,2.0,1.0,1.0,48.0,194000.0,4041.6666666666665
2020-04-18,2020,4,4,1_1,3.0,2.0,2.0,81.0,195000.0,2407.4074074074074
2020-09-19,2020,9,9,0_1,11.0,3.0,2.0,98.0,350000.0,3571.4285714285716
2020-09-19,2020,9,9,1_1,3.0,3.0,2.0,160.0,330000.0,2062.5
2020-09-19,2020,9,9,1_1,4.0,3.0,2.0,90.0,220000.0,2444.4444444444443
2020-11-01,2020,11,11,1_1,3.0,2.0,1.0,68.0,130000.0,1911.764705882353
2020-12-12,2020,12,12,0_1,3.0,4.0,3.0,120.0,235000.0,1958.3333333333333
2020-12-12,2020,12,12,1_2,3.0,2.0,1.0,68.0,235000.0,3455.8823529411766
2020-12-12,2020,12,12,1_2,1.0,2.0,1.0,43.0,121100.0,2816.279069767442
2020-12-12,2020,12,12,1_2,1.0,2.0,1.0,58.0,113500.0,1956.896551724138
2020-12-12,2020,12,12,1_2,1.0,2.0,1.0,45.0,114700.0,2548.8888888888887
2020-12-12,2020,12,12,2_1,2.0,1.0,1.0,40.0,119000.0,2975.0
2020-12-12,2020,12,12,1_2,2.0,1.0,1.0,48.0,139800.0,2912.5
2020-12-12,2020,12,12,1_1,2.0,1.0,1.0,35.0,129000.0,3685.714285714286
2020-12-12,2020,12,12,2_1,3.0,2.0,1.0,55.0,170000.0,3090.909090909091
2020-12-12,2020,12,12,1_1,3.0,2.0,2.0,70.0,225000.0,3214.285714285714
2020-12-12,2020,12,12,1_1,3.0,2.0,1.0,57.0,192000.0,3368.4210526315787
2020-12-12,2020,12,12,3_1,4.0,3.0,4.0,75.0,178000.0,2373.3333333333335
2020-12-12,2020,12,12,1_1,4.0,3.0,2.0,76.0,265000.0,3486.842105263158
2020-12-12,2020,12,12,1_1,5.0,4.0,3.0,167.0,490000.0,2934.131736526946
2020-08-20,2020,8,8,1_2,2.0,2.0,1.0,68.0,124900.0,1836.764705882353
2020-08-20,2020,8,8,1_2,3.0,2.0,2.0,169.0,750000.0,4437.869822485207
2020-08-20,2020,8,8,1_2,3.0,2.0,2.0,169.0,750000.0,4437.869822485207
2020-08-20,2020,8,8,1_2,3.0,2.0,2.0,169.0,750000.0,4437.869822485207
2020-08-20,2020,8,8,1_0,3.0,1.0,1.0,43.0,135000.0,3139.5348837209303
2020-08-20,2020,8,8,1_2,3.0,3.0,3.0,68.0,890000.0,13088.235294117647
2020-08-20,2020,8,8,1_1,3.0,2.0,1.0,44.0,150000.0,3409.090909090909
2020-08-20,2020,8,8,1_1,3.0,2.0,2.0,64.0,178000.0,2781.25
2020-08-20,2020,8,8,1_1,4.0,4.0,3.0,168.0,350000.0,2083.3333333333335
2020-08-20,2020,8,8,1_0,5.0,4.0,3.0,181.0,320000.0,1767.9558011049724
2021-04-23,2021,4,16,1_2,3.0,1.0,1.0,50.0,120000.0,2400.0
2021-04-23,2021,4,16,2_1,2.0,1.0,1.0,61.0,142000.0,2327.8688524590166
2021-04-23,2021,4,16,2_1,2.0,1.0,1.0,51.0,159000.0,3117.6470588235293
2021-04-23,2021,4,16,4_5,3.0,2.0,2.0,87.0,335000.0,3850.574712643678
2021-04-23,2021,4,16,4_5,3.0,2.0,2.0,87.0,335000.0,3850.574712643678
2021-04-23,2021,4,16,0_1,4.0,3.0,3.0,85.0,300000.0,3529.4117647058824
2020-06-28,2020,6,6,1_0,3.0,2.0,1.0,68.0,140000.0,2058.823529411765
2020-06-28,2020,6,6,1_2,4.0,3.0,4.0,298.0,1249912.0,4194.335570469799
2020-06-28,2020,6,6,1_2,4.0,3.0,4.0,241.0,1089935.0,4522.551867219917
2021-03-10,2021,3,15,3_5,3.0,1.0,1.0,79.0,241000.0,3050.6329113924053
2021-03-10,2021,3,15,1_1,4.0,3.0,1.0,65.0,135000.0,2076.923076923077
2021-04-17,2021,4,16,1_0,2.0,2.0,1.0,45.0,106000.0,2355.5555555555557
2021-04-17,2021,4,16,1_1,3.0,2.0,1.0,69.0,150000.0,2173.913043478261
2021-04-17,2021,4,16,1_1,3.0,2.0,1.0,72.0,159000.0,2208.3333333333335
2021-04-17,2021,4,16,1_1,3.0,2.0,1.0,72.0,159000.0,2208.3333333333335
2020-09-13,2020,9,9,1_1,2.0,1.0,1.0,53.0,119000.0,2245.2830188679245
2020-08-17,2020,8,8,1_1,2.0,2.0,1.0,68.0,134700.0,1980.8823529411766
2020-08-17,2020,8,8,1_1,2.0,2.0,1.0,68.0,125000.0,1838.235294117647
2020-08-17,2020,8,8,1_1,2.0,2.0,1.0,68.0,136000.0,2000.0
2020-08-17,2020,8,8,1_2,2.0,2.0,1.0,68.0,149000.0,2191.176470588235
2020-08-17,2020,8,8,0_1,3.0,5.0,5.0,68.0,2000000.0,29411.764705882353
2020-08-17,2020,8,8,0_1,3.0,5.0,5.0,68.0,2000000.0,29411.764705882353
2020-08-17,2020,8,8,0_1,3.0,5.0,5.0,68.0,2000000.0,29411.764705882353
2020-08-17,2020,8,8,1_2,1.0,2.0,1.0,33.0,98000.0,2969.6969696969695
2020-08-17,2020,8,8,1_2,3.0,2.0,2.0,69.0,200000.0,2898.550724637681
2020-08-17,2020,8,8,1_2,3.0,2.0,1.0,60.0,205000.0,3416.6666666666665
2020-08-17,2020,8,8,0_1,4.0,3.0,2.0,78.0,370000.0,4743.589743589743
2021-04-05,2021,4,16,2_1,1.0,2.0,1.0,30.0,95000.0,3166.6666666666665
2021-04-05,2021,4,16,3_1,3.0,2.0,1.0,60.0,179000.0,2983.3333333333335
2021-04-05,2021,4,16,2_3,5.0,2.0,1.0,70.0,190000.0,2714.285714285714
2021-04-05,2021,4,16,2_1,3.0,2.0,1.0,51.0,159000.0,3117.6470588235293
2021-04-05,2021,4,16,1_1,7.0,3.0,2.0,113.0,230000.0,2035.3982300884957
2021-01-18,2021,1,13,0_1,1.0,2.0,1.0,28.0,105000.0,3750.0
2021-01-18,2021,1,13,1_1,1.0,2.0,1.0,34.0,94000.0,2764.705882352941
2021-01-18,2021,1,13,1_2,2.0,1.0,1.0,40.0,149000.0,3725.0
2021-01-18,2021,1,13,1_1,2.0,1.0,1.0,45.0,163000.0,3622.222222222222
2020-12-21,2020,12,12,0_1,9.0,2.0,3.0,68.0,265000.0,3897.0588235294117
2020-12-21,2020,12,12,0_1,3.0,2.0,2.0,90.0,265000.0,2944.4444444444443
2020-12-21,2020,12,12,0_1,3.0,2.0,2.0,90.0,255000.0,2833.3333333333335
2020-12-21,2020,12,12,0_1,3.0,2.0,2.0,90.0,270000.0,3000.0
2020-12-21,2020,12,12,0_1,3.0,2.0,2.0,90.0,235000.0,2611.1111111111113
2020-12-21,2020,12,12,1_2,4.0,3.0,1.0,81.0,245000.0,3024.6913580246915
2020-07-16,2020,7,7,1_1,3.0,2.0,1.0,68.0,620000.0,9117.64705882353
2020-07-16,2020,7,7,1_1,1.0,2.0,1.0,35.0,85000.0,2428.5714285714284
2020-07-16,2020,7,7,1_0,2.0,1.0,1.0,55.0,130563.0,2373.8727272727274
2020-07-16,2020,7,7,2_1,2.0,1.0,1.0,40.0,128000.0,3200.0
2020-07-16,2020,7,7,0_1,2.0,1.0,1.0,53.0,178000.0,3358.490566037736
2020-07-16,2020,7,7,0_1,2.0,1.0,1.0,30.0,145000.0,4833.333333333333
2020-07-16,2020,7,7,1_0,3.0,2.0,1.0,86.0,148000.0,1720.9302325581396
2020-07-16,2020,7,7,2_1,3.0,2.0,1.0,62.0,153000.0,2467.7419354838707
2020-07-16,2020,7,7,2_0,3.0,2.0,1.0,68.0,172000.0,2529.4117647058824
2020-07-16,2020,7,7,0_1,3.0,2.0,2.0,170.0,430000.0,2529.4117647058824
2020-07-16,2020,7,7,1_0,4.0,3.0,2.0,212.0,250000.0,1179.245283018868
2020-07-16,2020,7,7,1_1,4.0,3.0,2.0,110.0,289000.0,2627.2727272727275
2020-07-16,2020,7,7,1_0,6.0,5.0,3.0,394.0,350000.0,888.3248730964467
2020-07-16,2020,7,7,2_4,8.0,4.0,3.0,220.0,740000.0,3363.6363636363635
2020-09-04,2020,9,9,1_2,2.0,1.0,1.0,52.0,132000.0,2538.4615384615386
